                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.4462,                 1.2318,                 1.5603,                0.77205,                 0.7654,                 0.8228,                0.61123,                 1.1059,                 1.1442,                 1.3915,               0.008218,               0.008218,               0.008218
                     57,                 1.4378,                 1.2013,                 1.5574,                0.74005,                0.77919,                0.81215,                0.59724,                 1.1088,                  1.123,                 1.3768,               0.008185,               0.008185,               0.008185
                     58,                 1.4374,                 1.2027,                 1.5502,                0.74649,                0.76912,                0.79734,                0.58935,                 1.1097,                 1.1807,                 1.3835,               0.008152,               0.008152,               0.008152
                     59,                 1.4318,                 1.2116,                 1.5446,                 0.7525,                0.74781,                0.81338,                0.60259,                 1.0956,                 1.1712,                  1.374,               0.008119,               0.008119,               0.008119
                     60,                 1.4409,                 1.1995,                 1.5603,                0.73185,                0.74995,                0.78248,                0.57719,                 1.0986,                 1.1776,                 1.3904,               0.008086,               0.008086,               0.008086
                     61,                 1.4386,                 1.1832,                 1.5409,                0.74639,                 0.7888,                0.82559,                0.60449,                 1.0904,                 1.1585,                 1.3749,               0.008053,               0.008053,               0.008053
                     62,                 1.4173,                 1.2062,                 1.5499,                0.76847,                0.74651,                0.81266,                0.59892,                 1.0892,                 1.1798,                 1.3757,                0.00802,                0.00802,                0.00802
                     63,                 1.4151,                 1.1686,                 1.5382,                 0.7929,                0.75283,                0.81959,                0.60244,                 1.0925,                 1.1453,                 1.3736,               0.007987,               0.007987,               0.007987
                     64,                  1.423,                 1.1751,                  1.544,                0.76082,                0.78552,                0.83101,                0.61404,                 1.1206,                 1.1084,                 1.3898,               0.007954,               0.007954,               0.007954
                     65,                 1.4121,                  1.139,                 1.5202,                0.76162,                0.73926,                0.79782,                0.59365,                 1.0866,                 1.1634,                 1.3644,               0.007921,               0.007921,               0.007921
                     66,                 1.4352,                 1.2011,                 1.5548,                0.76336,                0.76079,                 0.8254,                0.60539,                 1.1027,                 1.1549,                 1.3774,               0.007888,               0.007888,               0.007888
                     67,                 1.4045,                 1.1703,                 1.5285,                0.81646,                 0.7614,                0.85048,                0.63663,                 1.0625,                 1.0745,                 1.3431,               0.007855,               0.007855,               0.007855
                     68,                  1.417,                  1.169,                  1.538,                0.77348,                0.78025,                0.83701,                0.62429,                 1.0985,                 1.1422,                 1.3804,               0.007822,               0.007822,               0.007822
                     69,                  1.404,                 1.1595,                 1.5283,                0.79362,                 0.7768,                0.85336,                 0.6381,                  1.083,                 1.0937,                 1.3639,               0.007789,               0.007789,               0.007789
                     70,                 1.4184,                 1.1493,                 1.5243,                0.80622,                0.75585,                0.83099,                0.62113,                 1.0781,                 1.0851,                 1.3522,               0.007756,               0.007756,               0.007756
                     71,                 1.4287,                 1.1648,                 1.5435,                0.78487,                0.78623,                0.83554,                0.62153,                 1.0815,                 1.1074,                 1.3685,               0.007723,               0.007723,               0.007723
                     72,                 1.4078,                 1.1509,                 1.5269,                0.78714,                0.77031,                0.84522,                0.63341,                 1.0769,                 1.0721,                 1.3631,                0.00769,                0.00769,                0.00769
                     73,                 1.3945,                 1.1317,                 1.5235,                0.80823,                0.77737,                0.85325,                0.64198,                 1.0595,                 1.0902,                 1.3407,               0.007657,               0.007657,               0.007657
