                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.3848,                 1.0421,                 1.4505,                0.84329,                 0.8117,                0.88105,                0.66242,                  1.073,                0.95646,                 1.3148,               0.007096,               0.007096,               0.007096
                     91,                 1.3666,                 1.0459,                 1.4518,                0.85628,                   0.82,                0.88414,                0.66566,                 1.0706,                0.95674,                 1.3044,               0.007063,               0.007063,               0.007063
                     92,                 1.3731,                 1.0247,                 1.4502,                0.84159,                0.80098,                0.87869,                0.65959,                 1.0796,                 0.9853,                 1.3133,                0.00703,                0.00703,                0.00703
                     93,                 1.3721,                 1.0325,                  1.453,                0.83787,                0.79917,                0.87692,                0.66673,                 1.0688,                0.95975,                 1.3084,               0.006997,               0.006997,               0.006997
                     94,                 1.3722,                  1.045,                 1.4511,                0.84267,                0.81184,                0.87856,                0.66437,                 1.0699,                0.96208,                 1.3026,               0.006964,               0.006964,               0.006964
                     95,                 1.3665,                 1.0386,                 1.4436,                0.82742,                0.82131,                0.87569,                0.66614,                 1.0855,                0.94361,                 1.3122,               0.006931,               0.006931,               0.006931
                     96,                 1.3789,                  1.027,                 1.4642,                0.83992,                0.78949,                0.87101,                0.65728,                 1.0824,                  1.008,                 1.3071,               0.006898,               0.006898,               0.006898
                     97,                 1.3785,                 1.0398,                 1.4635,                0.85924,                 0.8244,                0.89282,                0.67291,                 1.0583,                0.94336,                 1.3034,               0.006865,               0.006865,               0.006865
                     98,                  1.359,                 1.0213,                 1.4436,                0.83348,                0.82015,                0.88549,                 0.6692,                 1.0897,                0.99589,                  1.328,               0.006832,               0.006832,               0.006832
                     99,                 1.3644,                 1.0117,                 1.4464,                0.84324,                 0.8168,                0.88903,                0.67579,                  1.066,                0.92997,                 1.3106,               0.006799,               0.006799,               0.006799
                    100,                 1.3645,                 1.0186,                 1.4493,                0.81122,                0.81896,                0.87968,                0.66553,                 1.0672,                0.99998,                  1.313,               0.006766,               0.006766,               0.006766
                    101,                 1.3618,                  1.015,                  1.429,                0.82823,                0.81835,                0.88768,                 0.6749,                 1.0649,                0.96139,                  1.298,               0.006733,               0.006733,               0.006733
                    102,                 1.3649,                 1.0027,                 1.4402,                 0.8419,                0.83326,                0.88976,                 0.6757,                  1.049,                0.94246,                 1.2909,                 0.0067,                 0.0067,                 0.0067
                    103,                  1.341,                0.99636,                 1.4214,                0.84457,                0.84108,                0.89507,                0.68207,                 1.0511,                0.92755,                  1.303,               0.006667,               0.006667,               0.006667
                    104,                  1.348,                 1.0081,                 1.4392,                0.85672,                0.83356,                0.89285,                0.67884,                 1.0714,                0.91005,                  1.299,               0.006634,               0.006634,               0.006634
                    105,                 1.3575,                 1.0178,                 1.4397,                0.84387,                0.82999,                0.88434,                0.67348,                 1.0603,                0.95937,                 1.2988,               0.006601,               0.006601,               0.006601
                    106,                 1.3566,                0.99234,                 1.4234,                0.82575,                0.83145,                0.89127,                0.68012,                 1.0487,                0.93601,                 1.2934,               0.006568,               0.006568,               0.006568
