                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.4203,                 1.1496,                 1.4767,                0.77246,                0.75487,                0.82959,                0.60927,                 1.1568,                 1.1469,                 1.3521,               0.008515,               0.008515,               0.008515
                     48,                 1.4294,                 1.1195,                 1.4579,                0.79227,                0.77254,                0.85239,                0.63088,                 1.1196,                 1.1126,                 1.3431,               0.008482,               0.008482,               0.008482
                     49,                 1.4269,                 1.1283,                 1.4678,                0.75141,                0.75417,                0.81516,                0.59578,                 1.1461,                 1.2162,                 1.3424,               0.008449,               0.008449,               0.008449
                     50,                 1.4182,                 1.1118,                 1.4571,                0.79488,                 0.7665,                0.83336,                0.61863,                  1.121,                  1.162,                 1.3219,               0.008416,               0.008416,               0.008416
                     51,                 1.4339,                 1.1289,                 1.4706,                0.81892,                0.76996,                0.84014,                0.61924,                 1.1188,                 1.0923,                 1.3307,               0.008383,               0.008383,               0.008383
                     52,                 1.4347,                 1.1153,                 1.4617,                0.81428,                 0.8042,                0.86066,                0.63857,                 1.1213,                 1.0888,                 1.3222,                0.00835,                0.00835,                0.00835
                     53,                 1.4169,                 1.1142,                  1.461,                0.79547,                0.75253,                0.81472,                0.60337,                 1.1253,                  1.182,                 1.3228,               0.008317,               0.008317,               0.008317
                     54,                 1.4221,                 1.1038,                 1.4566,                0.79254,                  0.794,                0.85236,                 0.6391,                 1.0929,                 1.0825,                  1.304,               0.008284,               0.008284,               0.008284
                     55,                 1.4197,                 1.1049,                 1.4466,                0.74693,                0.75718,                0.80961,                0.59142,                 1.1388,                  1.234,                 1.3548,               0.008251,               0.008251,               0.008251
                     56,                 1.4122,                 1.1082,                 1.4566,                0.83158,                0.77591,                0.85768,                0.64163,                 1.1045,                 1.0811,                 1.3175,               0.008218,               0.008218,               0.008218
                     57,                 1.4196,                 1.1097,                 1.4623,                0.81632,                0.79146,                0.86391,                0.64459,                 1.1199,                 1.0913,                 1.3313,               0.008185,               0.008185,               0.008185
                     58,                 1.4117,                 1.1075,                 1.4567,                0.80985,                0.78692,                0.85696,                0.64216,                 1.0946,                 1.0691,                 1.3063,               0.008152,               0.008152,               0.008152
                     59,                 1.4087,                 1.0836,                 1.4402,                0.80916,                0.78671,                0.85594,                0.64337,                  1.102,                 1.0696,                 1.3131,               0.008119,               0.008119,               0.008119
                     60,                 1.4067,                 1.0963,                 1.4463,                0.81621,                0.79468,                0.86424,                0.64437,                 1.1171,                 1.0837,                 1.3268,               0.008086,               0.008086,               0.008086
                     61,                 1.3806,                 1.0709,                 1.4282,                0.80929,                0.77806,                0.85333,                0.63572,                 1.1035,                 1.0926,                 1.3168,               0.008053,               0.008053,               0.008053
                     62,                 1.4212,                 1.0925,                 1.4558,                0.82768,                0.80817,                0.87375,                 0.6604,                 1.0903,                 1.0258,                 1.3029,                0.00802,                0.00802,                0.00802
                     63,                 1.4252,                 1.0962,                 1.4685,                0.80775,                0.79896,                0.86583,                0.64918,                 1.1022,                 1.0383,                 1.3033,               0.007987,               0.007987,               0.007987
                     64,                 1.3883,                 1.0768,                 1.4418,                0.79952,                0.81501,                0.86891,                0.65717,                 1.0863,                 1.0217,                 1.3046,               0.007954,               0.007954,               0.007954
                     65,                 1.3957,                 1.0626,                 1.4306,                0.84264,                0.78297,                0.86065,                0.64386,                  1.118,                 1.0864,                 1.3176,               0.007921,               0.007921,               0.007921
                     66,                 1.4048,                 1.0643,                 1.4417,                0.82601,                0.81636,                0.88058,                 0.6673,                 1.0739,                0.98771,                 1.2849,               0.007888,               0.007888,               0.007888
                     67,                 1.4033,                 1.0679,                 1.4452,                0.82656,                0.82383,                0.87921,                0.66419,                 1.0988,                 1.0233,                 1.3053,               0.007855,               0.007855,               0.007855
                     68,                 1.3996,                 1.0587,                 1.4485,                0.82581,                0.81021,                0.87154,                0.65701,                 1.0927,                 1.0427,                 1.3032,               0.007822,               0.007822,               0.007822
                     69,                 1.3736,                 1.0466,                 1.4191,                0.83644,                0.81791,                0.88442,                  0.667,                  1.093,                0.98246,                  1.292,               0.007789,               0.007789,               0.007789
                     70,                 1.3862,                  1.048,                 1.4289,                0.83719,                0.80912,                0.88311,                0.67262,                 1.0653,                0.98567,                 1.2861,               0.007756,               0.007756,               0.007756
                     71,                 1.3842,                 1.0423,                  1.422,                0.82548,                0.80125,                0.87381,                0.65902,                 1.0875,                  1.047,                 1.2962,               0.007723,               0.007723,               0.007723
                     72,                 1.3705,                 1.0472,                 1.4194,                0.85096,                0.80877,                 0.8809,                 0.6627,                 1.0958,                 1.0182,                 1.3008,                0.00769,                0.00769,                0.00769
                     73,                 1.3909,                 1.0381,                  1.431,                0.83778,                0.81923,                0.88298,                0.66381,                 1.0931,                 1.0003,                 1.3007,               0.007657,               0.007657,               0.007657
                     74,                 1.3754,                 1.0311,                 1.4246,                0.83673,                0.80641,                0.87318,                0.66273,                 1.0828,                 1.0476,                 1.2983,               0.007624,               0.007624,               0.007624
                     75,                 1.3783,                 1.0286,                 1.4271,                0.83085,                0.81455,                0.87627,                0.64856,                 1.1143,                 1.0134,                 1.3111,               0.007591,               0.007591,               0.007591
                     76,                 1.4015,                 1.0602,                   1.44,                0.86553,                0.79937,                 0.8761,                0.66272,                 1.0878,                 1.0358,                 1.3036,               0.007558,               0.007558,               0.007558
                     77,                 1.3656,                 1.0128,                  1.415,                0.82385,                0.80402,                0.88074,                  0.668,                 1.0744,                 0.9933,                 1.3005,               0.007525,               0.007525,               0.007525
                     78,                 1.3652,                 1.0141,                 1.4123,                0.84971,                0.82508,                0.88572,                0.67018,                 1.0732,                0.98168,                 1.2895,               0.007492,               0.007492,               0.007492
                     79,                 1.3715,                 1.0246,                 1.4249,                0.84904,                0.82502,                0.88936,                0.67326,                 1.0861,                0.98308,                   1.29,               0.007459,               0.007459,               0.007459
                     80,                 1.3735,                 1.0264,                 1.4209,                0.86219,                0.81949,                0.89337,                0.67843,                 1.0681,                 0.9567,                 1.2919,               0.007426,               0.007426,               0.007426
                     81,                 1.3482,                0.99003,                 1.3973,                 0.8548,                 0.8275,                0.89095,                0.67441,                 1.0707,                0.97724,                 1.2834,               0.007393,               0.007393,               0.007393
                     82,                 1.3712,                 1.0168,                 1.4177,                0.84382,                0.81704,                0.89092,                0.67798,                 1.0678,                0.98164,                 1.2821,                0.00736,                0.00736,                0.00736
                     83,                 1.3648,                 1.0053,                 1.4156,                0.83007,                0.82256,                0.88263,                0.67253,                 1.0585,                0.98795,                 1.2815,               0.007327,               0.007327,               0.007327
                     84,                  1.349,                 1.0039,                 1.4117,                0.86499,                0.82586,                0.89759,                0.68474,                 1.0589,                0.95097,                 1.2721,               0.007294,               0.007294,               0.007294
                     85,                 1.3579,                0.96965,                 1.3998,                0.82488,                0.83652,                 0.8883,                0.67858,                 1.0671,                 1.0123,                 1.2872,               0.007261,               0.007261,               0.007261
